122	문	80.0	211.99998	65.0001
126	문	70.0	140.0	17.5
77	침대	181.7119	97.26071	220.332
109	책상	108.00001	45.0	75.0
174	탁자	58.0	55.956913	58.0
456	선반	63.0	63.999985	20.0
561	커피 테이블	59.9942	27.997295	40.006
656	식탁	140.0	75.00002	78.0
352	의자	50.914597	94.7761	57.2605
441	의자	45.0334	99.9569	50.0178
478	피아노 의자	103.0001	48.7656	34.0
67	소파	91.0	94.5857	94.0869
261	소파	131.0	79.5878	100.905304
209	창문	140.0	140.0	17.5
210	창문	210.0	140.0	17.5
274	옷장	90.0	73.99998	36.935402
203	화장대	161.0	155.4008	46.0001
1000	ㅋㅋ	100.0	200.0	100.0
